element_type,osmid,highway,geometry,maxspeed,nodes,cycleway,lanes,lanes:backward,lanes:forward,name,smoothness,surface,centre_turn_lane,oneway,bridge,layer,lit,cycleway:both,turn:lanes:forward,turn:lanes:backward,destination,junction,lanes:both_ways,turn:lanes:both_ways,note:lanes,postal_code,turn:lanes,store,note,cycleway:right,alt_name,ref,bicycle,destination:ref,hov:lanes,surface:note,tiger:cfcc,tiger:county,tiger:name_base_1,tiger:reviewed,destination:lanes,motor_vehicle:lanes,junction:ref,maxspeed:advisory,source,postal_code:left,postal_code:right,cycleway:left,adot_name,hgv,hov,hov:conditional,motor_vehicle,motor_vehicle:conditional,name_1,destination:street,tiger:name_base,tiger:name_direction_prefix,tiger:name_type,sidewalk,cycleway:right:lane,name:en,name:es,noref,old_ref,tunnel,destination:ref:to,sidewalk:right:surface,shoulder,traffic_sign,check_date,access,oneway:bicycle,hov:minimum,ref:left,ref:right,horse,foot
way,233693559,secondary,"LINESTRING (-112.073863 33.5741733, -112.0738582 33.5737432, -112.0738488 33.5728157, -112.073852 33.5721035, -112.0738561 33.5717837)",35 mph,"[5187764741, 5187764729, 41524559, 41690166, 4347450519]",,5,2,2,North Central Avenue,good,asphalt,,,,,,,,,,,1,left,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,233693562,secondary,"LINESTRING (-112.0739159 33.5748642, -112.0739246 33.5745346, -112.0738655 33.5743485)",35 mph,"[2420401430, 2420401426, 2420401423]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,235408550,secondary,"LINESTRING (-112.0738602 33.5659063, -112.0738599 33.5659826, -112.0738533 33.5662726, -112.0738472 33.5665753)",35 mph,"[41904800, 3307881619, 4929060966, 4347433331]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,266515705,secondary,"LINESTRING (-112.0763493 33.5676766, -112.0765934 33.5677213, -112.0769178 33.5677137, -112.0770535 33.5677106, -112.077272 33.5677056, -112.077475 33.5676573, -112.0775161 33.5676475)",35 mph,"[2720577547, 2720577546, 2720582450, 2720582439, 2720577544, 10074099708, 987384625]",,3,,,West Dunlap Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,266515710,secondary,"LINESTRING (-112.0779801 33.5676363, -112.0784468 33.5676229, -112.0788176 33.5676159, -112.0788871 33.5676146, -112.0798229 33.5675953)",35 mph,"[41601182, 911385926, 3211892610, 42401656, 390416744]",,5,2,2,West Dunlap Avenue,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,266516977,secondary,"LINESTRING (-112.0775161 33.5676475, -112.0772785 33.5676097, -112.0770523 33.5676144, -112.0769098 33.5676172, -112.0767453 33.5676206, -112.076577 33.567624, -112.0763493 33.5676766)",35 mph,"[987384625, 2720582440, 2720582447, 2720582442, 3211892611, 2720582453, 2720577547]",,2,,,West Dunlap Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,266521424,primary_link,"LINESTRING (-112.0645862 33.5683274, -112.0647035 33.5682835, -112.0648203 33.56826, -112.0648905 33.5682526, -112.0649625 33.5682516, -112.0650574 33.5682688, -112.0651317 33.5683248, -112.0651919 33.5683927, -112.0652395 33.5685047)",,"[390317448, 2720602268, 2720602267, 10074079453, 2720602266, 2272782962, 2720602265, 2720602264, 2720602263]",,1,,,,,asphalt,,yes,,,,,,,North 7th Street,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034706,secondary,"LINESTRING (-112.0717206 33.5677406, -112.07253 33.5677352, -112.0726888 33.5677341, -112.07291 33.5677334, -112.0730807 33.5677329, -112.073187 33.5677325, -112.0732352 33.5677324)",35 mph,"[41872969, 3211892614, 388200153, 41607991, 392450786, 10060028904, 4347450517]",,6,2,3,East Dunlap Avenue,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034710,secondary,"LINESTRING (-112.073844 33.5677304, -112.0739073 33.56773)",35 mph,"[41872965, 3307881660]",,7,,,East Dunlap Avenue,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034717,secondary,"LINESTRING (-112.0738378 33.5686531, -112.0738336 33.5688247, -112.0738354 33.5691126, -112.0738344 33.5692406, -112.0738329 33.5693538)",35 mph,"[3307881664, 3307881665, 3307881666, 3307881667, 4347433343]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034720,secondary,"LINESTRING (-112.0739542 33.569561, -112.0739584 33.5692415, -112.073958 33.5691426, -112.0739594 33.5691127, -112.0739578 33.5688574)",,"[41554968, 392462537, 9896633891, 392455820, 4347433342]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034722,secondary,"LINESTRING (-112.07397 33.5677295, -112.0739711 33.5676108, -112.073971 33.5672708, -112.0739715 33.5671918, -112.0739783 33.5667436, -112.0739805 33.5665122, -112.0739836 33.5662742)",35 mph,"[3307881659, 3307881658, 10060028902, 3307881652, 7641854410, 5166799784, 4347433330]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034723,secondary,"LINESTRING (-112.073907 33.5625091, -112.073907 33.5625484, -112.0739102 33.562652, -112.0739122 33.5627122, -112.0739174 33.5628764)",35 mph,"[42029126, 3812755334, 11065953973, 5187764711, 41671510]",,4,2,2,North Central Avenue,good,asphalt,,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,324034728,secondary,"LINESTRING (-112.07397 33.5677295, -112.0740597 33.5677285, -112.0742122 33.5677268, -112.0744347 33.5677187, -112.0745891 33.5677146)",35 mph,"[3307881659, 2501934364, 390683809, 390683415, 4347450516]",,6,3,3,West Dunlap Avenue,good,asphalt,,,,,,,,left||,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,327010694,secondary,"LINESTRING (-112.0825479 33.5607631, -112.0825475 33.5609719, -112.0825484 33.561587, -112.0825496 33.5617067, -112.0825506 33.561741, -112.082543 33.5630091, -112.0825429 33.5630425, -112.0825417 33.5634007, -112.0825401 33.5634971, -112.0825393 33.5639134, -112.082539 33.5639531, -112.0825362 33.5643599, -112.082532 33.5649494)",40 mph,"[4346569411, 41769460, 41769463, 5862727158, 41769467, 10074100053, 5862727157, 41769473, 987453984, 7979876487, 10074100054, 7202608670, 41642972]",,6,2,3,North 7th Avenue,good,asphalt,yes,no,,,,,,,,,,,"2 southbound, 3 northbound",,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,406947942,primary,"LINESTRING (-112.0652099 33.5718993, -112.0652078 33.5719413, -112.065207 33.5719649, -112.0652079 33.5719886, -112.0652036 33.5723099, -112.0651838 33.5732261, -112.06519 33.5738236, -112.0651912 33.5739137, -112.0651897 33.5741349, -112.0651863 33.5743014, -112.0651782 33.5746865, -112.0651743 33.5748746, -112.0651716 33.5749348, -112.065171 33.5750355)",35 mph,"[4347450520, 7664104356, 10575186119, 8915253480, 3852304883, 41524527, 8682512288, 372837616, 41526018, 372837852, 5231963878, 405087226, 3006456229, 41741582]",,6,2,3,North 7th Street,good,asphalt,yes,no,,,yes,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,420699592,primary,"LINESTRING (-112.0652781 33.558432, -112.065279 33.5588607, -112.0652805 33.5590864, -112.065281 33.5592251, -112.065281 33.5593797, -112.0652818 33.5594466, -112.0652816 33.5595828, -112.0652827 33.5596814, -112.065283 33.5597652, -112.065283 33.5598374, -112.0652834 33.5599143, -112.0652834 33.5599252, -112.065283 33.5599701, -112.0652838 33.5600726, -112.0652844 33.5601587, -112.0652845 33.5602968, -112.0652847 33.5603409, -112.0652854 33.5604324, -112.065285 33.5605235)",40 mph,"[41741548, 5231963828, 5727083853, 7663870369, 8553661218, 7663870373, 8553626814, 7663870372, 7051802810, 8553661220, 8461240260, 8461240251, 8553661225, 8461240269, 5231963845, 8461240259, 8461240262, 3006456220, 41741551]",,6,2,3,North 7th Street,good,asphalt,yes,no,,,yes,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,421291051,secondary,"LINESTRING (-112.0739174 33.5628764, -112.073862 33.5631034, -112.073861 33.5631748, -112.0738616 33.5639468, -112.0738617 33.5641029)",35 mph,"[41671510, 4939434772, 3307881569, 7761348312, 390548348]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,421291052,secondary,"LINESTRING (-112.0739864 33.5641025, -112.0739846 33.5639788, -112.073979 33.5636061, -112.0739732 33.5631737, -112.0739727 33.5630975)",35 mph,"[3307881572, 7308636510, 9896633888, 3307881568, 4347433327]",,2,,,North Central Avenue,good,asphalt,,yes,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,422085395,primary,"LINESTRING (-112.065285 33.5605235, -112.065285 33.5606078, -112.0652844 33.5606811, -112.065282 33.5608846, -112.065282 33.5608986, -112.0652822 33.5609404, -112.0652807 33.5610769, -112.0652783 33.5614359, -112.0652781 33.5614836, -112.0652769 33.5616341, -112.0652819 33.5617673, -112.0652835 33.5618106, -112.0652852 33.5623067, -112.0652833 33.5624309, -112.0652795 33.5626827, -112.0652755 33.5629472, -112.0652729 33.5631168, -112.065272 33.5631883, -112.06527 33.5632962, -112.065265 33.5636135, -112.0652631 33.5637608, -112.0652612 33.5638352, -112.0652595 33.5640679, -112.065259 33.5641437)",35 mph,"[41741551, 3006456224, 9843863746, 5231963844, 10060028920, 9843863751, 8553661231, 8553661226, 7054140977, 3898481980, 9843863737, 3898481982, 41741553, 5701423241, 7663971066, 5701423236, 5701423233, 7701520476, 7048235246, 7048235241, 3898482040, 5231963857, 3006456225, 41741554]",,6,2,3,North 7th Street,good,asphalt,yes,no,,,yes,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789433,secondary,"LINESTRING (-112.0825809 33.5539333, -112.0825867 33.5547334, -112.0825873 33.5548296, -112.0825917 33.5551008, -112.082575 33.5561282, -112.0825634 33.5566301, -112.0825632 33.5566599, -112.0825644 33.5570932, -112.0825592 33.5575197, -112.082559 33.5576032, -112.0825607 33.5579901, -112.0825596 33.5580617, -112.0825622 33.5584627, -112.0825596 33.5588375, -112.0825535 33.5597341)",40 mph,"[2579020373, 7979667137, 8519318251, 41769450, 41521866, 987375879, 10074100081, 41509960, 987375882, 10074100080, 41689052, 985852712, 987375874, 41515162, 4346569409]",,6,2,3,North 7th Avenue,good,asphalt,yes,,,,,,,,,,,,"2 southbound, 3 northbound",,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789434,secondary,"LINESTRING (-112.0825431 33.5681414, -112.082543 33.5682556)",40 mph,"[41769484, 392133669]",lane,4,2,2,North 7th Avenue,good,asphalt,,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789435,secondary,"LINESTRING (-112.0825369 33.56675, -112.0825373 33.5670148, -112.0825375 33.5671219, -112.082537 33.5672048, -112.0825378 33.5672675, -112.0825379 33.5673203, -112.082539 33.5674065, -112.082541 33.567555)",40 mph,"[4346569413, 7488821627, 7278750388, 5893539185, 7048726730, 7278750398, 2458568000, 41769482]",,5,2,3,North 7th Avenue,good,asphalt,,no,,,,,left||right,,,,,,"2 southbound, 3 northbound",,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789436,secondary,"LINESTRING (-112.082549 33.5602723, -112.0825488 33.5603667, -112.0825481 33.5606768, -112.0825479 33.5607631)",40 mph,"[41769458, 2497355972, 10074100067, 4346569411]",,6,3,3,North 7th Avenue,good,asphalt,yes,no,,,,,,left||,,,,,"2 southbound, 3 northbound",,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789437,secondary,"LINESTRING (-112.0825326 33.570731, -112.082533 33.5707934, -112.0825336 33.5708347, -112.082538 33.5711237, -112.082539 33.5712588)",35 mph,"[4346569419, 8460175667, 8460175659, 2458568254, 41769493]",shared_lane,5,2,3,North 7th Avenue,good,asphalt,,no,,,,,left||right,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789438,secondary,"LINESTRING (-112.0825535 33.5597341, -112.0825522 33.5598895, -112.0825506 33.5601676, -112.082549 33.5602723)",40 mph,"[4346569409, 10074100068, 2497355965, 41769458]",,6,2,4,North 7th Avenue,good,asphalt,yes,no,,,,,left|||,,,,,,"2 southbound, 3 northbound",,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436789443,secondary,"LINESTRING (-112.082541 33.567555, -112.0827159 33.5675519, -112.0828183 33.5675522, -112.0830532 33.5675528, -112.0830906 33.5675529, -112.083232 33.5675533, -112.0832934 33.5675534, -112.0835093 33.567554, -112.0835732 33.5675542)",40 mph,"[41769482, 2458568002, 7278750395, 8518952941, 7278750392, 10074100018, 7488821624, 9843863755, 4346569414]",,6,4,2,West Dunlap Avenue,good,asphalt,,no,,,,,,left|||,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887254,secondary,"LINESTRING (-112.0711303 33.5677407, -112.0717206 33.5677406)",35 mph,"[4347433333, 41872969]",,7,2,4,East Dunlap Avenue,good,asphalt,yes,no,,,,,|||right,,,,1,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887255,secondary,"LINESTRING (-112.068977 33.5677482, -112.0693802 33.5677475, -112.0694814 33.5677473, -112.069589 33.5677485)",35 mph,"[4347433335, 8702221562, 2493829270, 41711887]",,6,2,4,East Dunlap Avenue,good,asphalt,,no,,,,,left|||,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887256,secondary,"LINESTRING (-112.0659779 33.5677811, -112.0660253 33.5677756, -112.0660944 33.5677675, -112.0662668 33.5677618)",35 mph,"[4347433337, 7664037334, 2720602261, 4347433336]",,6,3,3,East Dunlap Avenue,good,asphalt,,no,,,,,,left||,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887257,secondary,"LINESTRING (-112.069589 33.5677485, -112.0697082 33.5677495, -112.070032 33.5677465)",35 mph,"[41711887, 2493829272, 4347433334]",,6,3,3,East Dunlap Avenue,good,asphalt,,no,,,,,,left||,,,,,,85020,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887258,secondary,"LINESTRING (-112.070032 33.5677465, -112.0704108 33.5677429, -112.0706439 33.5677407, -112.0711303 33.5677407)",35 mph,"[4347433334, 8460900135, 41872972, 4347433333]",,6,2,3,East Dunlap Avenue,good,asphalt,yes,no,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887259,secondary,"LINESTRING (-112.065243 33.5679583, -112.0654493 33.567878, -112.065633 33.5678336, -112.065688 33.5678245, -112.0657775 33.5678099, -112.0658941 33.5677908, -112.0659779 33.5677811)",35 mph,"[41618893, 2272782960, 2310754032, 5231963862, 7664037337, 371024343, 4347433337]",,7,4,3,East Dunlap Avenue,good,asphalt,,no,,,,,,left||left;through|through;slight_right,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436887260,primary,"LINESTRING (-112.0643855 33.5684942, -112.0645172 33.5683845, -112.0645862 33.5683274, -112.0646147 33.5683087)",40 mph,"[4347433341, 10074073405, 390317448, 4347433339]",lane,6,2,4,North Cave Creek Road,good,asphalt,,no,,,,,left|left||,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
